time,value,a,b,c,d
04_07_58_p,65.67,0.18,10.33,6.11,83.37
04_08_04_p,64.54,0.31,9.52,6.92,83.24
04_08_10_p,66.41,0.27,9.75,7.48,82.5
04_08_16_p,65.34,0.16,9.96,6.97,82.91
04_08_22_p,63.5,0.09,9.96,6.4,83.54
04_08_28_p,60.26,0.23,9.14,6.13,84.5
04_08_34_p,58.76,0.1,9.04,6.28,84.58
04_08_40_p,52.49,0.06,7.81,6.42,85.72
04_08_46_p,50.2,0.09,7.66,5.5,86.75
04_08_52_p,46.05,0.15,6.81,5.25,87.79
04_08_58_p,41.49,0.13,5.97,5.17,88.73
04_09_04_p,36.48,0.1,5.28,4.54,90.07
04_09_10_p,35.78,0.11,5.16,4.44,90.29
04_09_16_p,36.41,0.1,5.41,4.18,90.31
04_09_22_p,36.23,0.09,5.35,4.29,90.27
04_09_28_p,36.6,0.11,5.44,4.15,90.29
04_09_34_p,38.5,0.11,5.84,4.1,89.95
04_09_40_p,37.61,0.1,5.59,4.33,89.98
04_09_46_p,36.48,0.14,5.38,4.09,90.39
04_09_52_p,34.27,0.05,5.21,3.86,90.88
04_09_58_p,33.06,0.15,4.66,4.13,91.06
04_10_04_p,30.52,0.1,4.32,3.96,91.62
04_10_10_p,30.1,0.15,4.24,3.7,91.9
04_10_16_p,29.82,0.09,4.22,3.91,91.78
04_10_22_p,29.61,0.11,4.37,3.33,92.19
04_10_28_p,29.83,0.08,4.39,3.54,91.99
04_10_34_p,29.25,0.07,4.25,3.65,92.04
04_10_40_p,29.47,0.08,4.23,3.76,91.93
04_10_46_p,27.65,0.1,3.85,3.7,92.34
04_10_52_p,25.98,0.15,3.4,3.74,92.71
04_10_58_p,25.33,0.17,3.29,3.59,92.95
04_11_04_p,21.63,0.11,2.79,3.29,93.8
04_11_10_p,21.33,0.11,2.87,2.94,94.08
04_11_16_p,19.06,0.11,2.46,2.83,94.6
04_11_22_p,17.67,0.11,2.17,2.86,94.85
04_11_28_p,16.53,0.13,2.05,2.49,95.33
04_11_34_p,15.87,0.16,1.89,2.41,95.54
04_11_40_p,15.82,0.18,1.86,2.36,95.59
04_11_46_p,15.97,0.15,1.97,2.31,95.57
04_11_52_p,16.92,0.23,2.12,2.01,95.64
04_11_58_p,14.51,0.05,1.99,2.03,95.93
04_12_04_p,14.82,0.02,1.86,2.66,95.46
04_12_10_p,14.29,0.03,1.79,2.52,95.66
04_12_16_p,13.79,0.08,1.81,1.97,96.14
04_12_22_p,13.22,0.02,1.84,1.91,96.22
04_12_28_p,13.0,0.05,1.8,1.75,96.4
04_12_34_p,10.69,0.06,1.37,1.62,96.96
04_12_40_p,11.01,0.02,1.47,1.73,96.78
04_12_46_p,10.39,0.03,1.37,1.62,96.98
04_12_52_p,10.43,0.06,1.37,1.49,97.08
04_12_58_p,10.1,0.05,1.28,1.6,97.08
04_13_04_p,10.63,0.06,1.23,1.94,96.77
04_13_10_p,12.1,0.07,1.46,2.05,96.42
04_13_16_p,12.53,0.07,1.45,2.29,96.19
04_13_22_p,13.52,0.07,1.48,2.71,95.73
04_13_28_p,13.72,0.08,1.42,2.91,95.59
04_13_34_p,16.4,0.07,1.84,3.25,94.84
04_13_40_p,18.08,0.11,2.12,3.19,94.57
04_13_46_p,19.25,0.07,2.39,3.3,94.25
04_13_52_p,20.69,0.05,2.65,3.47,93.84
04_13_58_p,20.25,0.09,2.43,3.6,93.88
04_14_04_p,20.08,0.05,2.34,3.94,93.67
04_14_10_p,20.97,0.07,2.51,3.86,93.56
04_14_16_p,21.55,0.08,2.63,3.8,93.49
04_14_22_p,21.91,0.05,2.93,3.38,93.64
04_14_28_p,21.79,0.06,2.89,3.37,93.69
04_14_34_p,21.19,0.07,2.69,3.52,93.72
04_14_40_p,20.26,0.03,2.78,3.03,94.15
04_14_46_p,20.92,0.08,2.72,3.26,93.93
04_14_52_p,20.23,0.08,2.45,3.59,93.88
04_14_58_p,21.25,0.05,2.77,3.45,93.73
04_15_04_p,20.86,0.06,2.84,3.03,94.07
04_15_10_p,19.24,0.13,2.36,3.07,94.44
04_15_16_p,20.62,0.16,2.5,3.26,94.08
04_15_22_p,19.35,0.1,2.33,3.35,94.22
04_15_28_p,20.73,0.11,2.69,3.09,94.1
04_15_34_p,21.81,0.08,2.89,3.28,93.75
04_15_40_p,22.38,0.11,2.92,3.34,93.62
04_15_46_p,21.53,0.14,2.47,3.89,93.5
04_15_52_p,21.43,0.09,2.73,3.44,93.74
04_15_58_p,22.75,0.03,3.09,3.5,93.38
04_16_04_p,24.71,0.09,3.45,3.28,93.18
04_16_10_p,24.64,0.05,3.4,3.57,92.98
04_16_16_p,24.81,0.06,3.41,3.58,92.96
04_16_22_p,29.05,0.09,4.01,4.05,91.85
04_16_28_p,29.79,0.16,4.01,4.07,91.76
04_16_34_p,29.44,0.07,4.18,3.92,91.83
04_16_40_p,31.3,0.11,4.3,4.35,91.23
04_16_46_p,34.69,0.16,4.65,4.92,90.27
04_16_52_p,37.81,0.13,5.31,4.98,89.58
04_16_58_p,40.51,0.2,5.61,5.23,88.96
04_17_04_p,43.95,0.15,6.25,5.6,88.0
04_17_10_p,48.78,0.15,7.1,5.89,86.86
04_17_16_p,55.37,0.23,8.01,6.51,85.25
04_17_22_p,60.43,0.27,8.85,6.74,84.14
04_17_28_p,65.78,0.19,10.04,6.84,82.93
04_17_34_p,64.22,0.14,9.7,7.16,83.0
04_17_40_p,69.44,0.22,10.74,6.77,82.27
04_17_46_p,69.68,0.15,10.84,6.99,82.02
04_17_52_p,74.83,0.14,11.99,6.74,81.13
04_17_58_p,74.14,0.22,11.58,7.02,81.18
04_18_04_p,75.34,0.26,11.8,6.87,81.08
04_18_10_p,70.39,0.24,11.09,6.27,82.39
04_18_16_p,66.15,0.22,10.01,6.95,82.82
04_18_22_p,67.98,0.28,10.66,5.94,83.12
04_18_28_p,64.78,0.29,9.98,5.99,83.75
04_18_34_p,61.77,0.21,9.69,5.61,84.49
04_18_40_p,56.57,0.16,8.79,5.51,85.54
04_18_46_p,56.15,0.13,8.97,5.0,85.91
04_18_52_p,50.6,0.13,7.86,5.0,87.02
04_18_58_p,47.02,0.24,7.28,4.11,88.37
04_19_04_p,41.95,0.1,6.65,3.85,89.4
04_19_10_p,36.6,0.06,5.8,3.5,90.65
04_19_16_p,34.59,0.14,5.29,3.37,91.2
04_19_22_p,29.46,0.06,4.42,3.38,92.14
04_19_28_p,27.44,0.09,4.04,3.17,92.69
04_19_34_p,24.87,0.02,3.79,2.86,93.33
04_19_40_p,21.53,0.07,3.13,2.59,94.22
04_19_46_p,17.92,0.01,2.56,2.51,94.92
04_19_52_p,14.24,0.03,1.92,2.17,95.88
04_19_58_p,13.39,0.05,1.79,1.97,96.19
04_20_04_p,11.34,0.05,1.36,2.02,96.58
04_20_10_p,11.31,0.02,1.59,1.58,96.8
04_20_16_p,11.78,0.02,1.7,1.54,96.74
04_20_22_p,12.36,0.05,1.62,1.88,96.46
04_20_28_p,12.93,0.0,1.77,2.04,96.19
04_20_34_p,13.23,0.02,1.71,2.24,96.02
04_20_40_p,13.87,0.05,1.77,2.26,95.93
04_20_46_p,11.49,0.05,1.35,2.12,96.49
04_20_52_p,11.15,0.02,1.41,1.95,96.62
04_20_58_p,10.17,0.01,1.29,1.81,96.89
04_21_04_p,9.39,0.05,1.05,1.82,97.08
04_21_10_p,6.52,0.03,0.6,1.61,97.76
04_21_16_p,5.82,0.02,0.66,1.16,98.15
04_21_22_p,6.26,0.02,0.7,1.28,98.0
04_21_28_p,7.07,0.07,0.71,1.41,97.81
04_21_34_p,6.22,0.05,0.56,1.46,97.94
04_21_40_p,5.51,0.03,0.55,1.23,98.19
04_21_46_p,5.95,0.03,0.69,1.1,98.17
04_21_52_p,5.55,0.02,0.63,1.1,98.25
04_21_58_p,5.54,0.02,0.66,1.02,98.29
04_22_04_p,5.13,0.03,0.57,0.99,98.4
04_22_10_p,4.36,0.02,0.54,0.73,98.71
04_22_16_p,4.04,0.02,0.44,0.82,98.71
04_22_22_p,3.82,0.03,0.44,0.66,98.86
04_22_28_p,3.33,0.03,0.35,0.64,98.98
04_22_34_p,3.57,0.02,0.47,0.51,99.0
04_22_40_p,2.62,0.02,0.28,0.51,99.18
04_22_46_p,1.78,0.01,0.24,0.24,99.51
04_22_52_p,1.94,0.02,0.26,0.22,99.5
04_22_58_p,1.38,0.0,0.18,0.24,99.58
04_23_04_p,1.15,0.0,0.11,0.3,99.59
04_23_10_p,1.07,0.01,0.09,0.26,99.64
04_23_16_p,0.75,0.0,0.11,0.1,99.78
04_23_22_p,0.82,0.01,0.08,0.16,99.75
04_23_28_p,0.33,0.0,0.03,0.09,99.87
04_23_34_p,0.47,0.01,0.03,0.11,99.84
04_23_40_p,0.24,0.0,0.02,0.07,99.91
04_23_46_p,0.21,0.0,0.03,0.03,99.93
04_23_52_p,0.25,0.0,0.03,0.05,99.92
05_00_00_p,0.44,0.0,0.08,0.02,99.9
